2016-17,name,2017-18,2018-19,2019-20_x,2019-20_y,cross_season_id
47.0,Lewis Cook,46.0,39.0,79.0,79.0,2ee34fd5-4363-4f8a-ba58-3d033820971b
48.0,Joshua King,51.0,45.0,68.0,68.0,7bc81bea-8bfe-4535-9f1e-617347a90e11
49.0,Callum Wilson,48.0,43.0,67.0,67.0,89b8dc85-c48a-48d7-8107-d14ad723d020
50.0,Tokelo Rantie,,,,,02d5ddce-1700-4373-a4c1-1e51b90a7d82
51.0,Lewis Grabban,,,,,31df53ec-010b-4749-bf5e-ae59c83a2a92
52.0,Benik Afobe,49.0,,,,91a994c3-9f7b-4810-aa86-0313677d70c2
53.0,Lys Mousset,50.0,44.0,70.0,70.0,c9e3400f-d788-47c6-8ce1-fa545f85539d
54.0,Tom Heaton,74.0,67.0,94.0,94.0,fcc4a092-15d3-4a3c-a726-1d695e09e3af
55.0,Matthew Lowton,76.0,69.0,85.0,85.0,ea788fa1-4e9f-4807-ab68-9360c44b9860
56.0,Ben Mee,77.0,70.0,83.0,83.0,86e89b7d-4f9c-4bc2-a05d-9741956ef6ba
57.0,Stephen Ward,78.0,71.0,,,4c6d1a3e-46b3-4d6d-a2dc-ea1f95d962e5
58.0,Michael Keane,146.0,162.0,143.0,143.0,3042e81b-1d95-45b1-be25-034fe84d0f28
59.0,James Tarkowski,79.0,72.0,84.0,84.0,a3ae9939-395c-4023-9451-569fafbc618f
60.0,Tendayi Darikwa,,,,,2d62a142-51f5-4ffd-a934-4b9aa627b107
61.0,David Jones,,,,,95f1eaef-7b65-4851-8276-a33c3995b2e6
62.0,George Boyd,,,,,c77f9794-534a-447a-b1ec-97de301bce71
63.0,Scott Arfield,82.0,,,,cedeca4b-239a-459c-9204-590ecbbeaa3e
64.0,Dean Marney,83.0,,,,e871bb01-464e-40a8-b5ab-40ff6728c1a7
65.0,Fredrik Ulvestad,575.0,,,,484a3386-4fd8-4bf6-bed9-1638f386f185
66.0,Michael Kightly,,,,,e3521706-6731-4bee-b1f4-094a6c7674d3
67.0,Sam Vokes,91.0,84.0,,,da538b76-7954-45ee-97b5-ee7d62f7a013
68.0,Andre Gray,92.0,395.0,364.0,364.0,1be7063e-c34b-4e83-817b-083a1cd4cdc9
69.0,Lukas Jutkiewicz,,,,,d1aa419d-83ac-4b7e-ba28-9a912c565bb5
70.0,Ashley Barnes,93.0,85.0,90.0,90.0,481b1e58-207b-4937-bd42-9a9edc058634
71.0,Rouwen Hennings,,,,,2539e8e3-877d-4a5a-8829-47dda95c26a6
72.0,Chris Long,,,,,faaa8846-72ad-4411-88a0-ddbe95b92ea9
73.0,Thibaut Courtois,94.0,111.0,,,8d036592-12fe-4186-bcb3-ea91e3b55ea8
74.0,Asmir Begovic,29.0,24.0,72.0,72.0,eedf639b-d141-4637-b6d4-570ab49845b9
75.0,John Terry,,,,,2b3a0a3f-4698-44d5-a0a2-47f65c6a297c
76.0,Branislav Ivanovic,,,,,b374887a-4cee-42fa-b636-b4b1123ac4b5
77.0,César Azpilicueta,97.0,113.0,105.0,105.0,244f3eaf-df0c-408d-a65f-320341aa1a73
78.0,Gary Cahill,98.0,114.0,,503.0,292dac04-0354-448b-b23c-588e4869ed85
79.0,Kurt Zouma,99.0,526.0,,459.0,cc0df067-4687-43bc-a00a-71e1fd070255
